학생소식,,,,,,
번호,제목,작성자,작성일,조회,파일,링크
일반공지,"[장학, 필독] 2022학년도 2학기 국가장학금 이수학점 심사기준 변경 안내",학생복지과,2022-05-09,5378,0,https://www.kongju.ac.kr//bbs/kongju/1521/254076/artclView.do
7203,"[Kongju:공주]
(장학)학생복지과 통학버스 근로장학생 모집
새글",학생복지과,2022.08.22,12,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258465/artclView.do
7202,"[공통]
대전·세종·충남지혁혁신플랫폼 지역홍보 서포터즈 예큐레이션 모집 안내
새글",모빌리티소부장사업본부,2022.08.22,69,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258455/artclView.do
7201,"[공통]
2022학년도 2학기 캠퍼스순찰대(학우보호도우미, 학우안전지킴이) 모집 공고
새글",학생복지과,2022.08.19,621,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258393/artclView.do
7200,"[Kongju:공주]
22년 공주대학교 예비군훈련 일정별 훈련편성 안내
새글",예비군 연대장,2022.08.19,859,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1521/258389/artclView.do
,,,,,,
행정소식,,,,,,
번호,제목,작성자,작성일,조회,파일,링크
2344,"2022년 공공기관 종합청렴도 평가 관련 개인정보 제3자 제공사항 공고
새글",총무과,2022.08.19,29,,https://www.kongju.ac.kr//bbs/kongju/1522/258361/artclView.do
2343,[LINC 3.0] 1차년도(2022) 산학공동 기술개발과제 공모,3단계 산학연협력 선도대학 육성사업단,2022.08.12,196,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1522/258152/artclView.do
2342,"[공통]
정전 및 주전산실 무정전전원장치(UPS) 교체에 따른 전산 서비스 중단 안내",정보화본부,2022.08.11,193,,https://www.kongju.ac.kr//bbs/kongju/1522/258057/artclView.do
2341,"공주캠퍼스(신관,옥룡) 단전 및 단수 알림",시설과,2022.08.09,382,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1522/257981/artclView.do
2340,"[Kongju:공주]
[2022년 공주시 열린제작실 (꿈:틀)]영상컨텐츠 제작 전문가 모집",산학연구기획팀,2022.08.08,194,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1522/257942/artclView.do
,,,,,,
행사안내,,,,,,
번호,제목,작성자,작성일,조회,파일,링크
327,"[공통]
2022 충남공주시민대학 2학기 수강생 모집 (무료 과정)",평생교육원,2022.08.09,204,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1523/257994/artclView.do
326,"[공통]
8월 도서관 이용교육 안내",학술정보과,2022.08.02,383,,https://www.kongju.ac.kr//bbs/kongju/1523/257726/artclView.do
325,"[공통]
[모빌리티소부장사업본부] 기업체 대상 2차년도 자유공모과제 사업설명회 개최 안내",모빌리티소부장사업본부,2022.07.25,524,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1523/257435/artclView.do
324,"[Kongju:공주]
주민참여 예술 체험 프로그램(글라스 아트 제작 체험) 참가자 모집 안내",역사박물관,2022.07.22,737,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1523/257295/artclView.do
323,"[공통]
2022년도 공주 고도육성 아카데미 수강생 모집 안내",역사박물관,2022.07.15,1012,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1523/257024/artclView.do
,,,,,,
취업소식,,,,,,
번호,제목,작성자,작성일,조회,파일,링크
838,"[공통]
2022학년도 2학기 진로·취업 교과목 안내",김정란,2022.08.03,481,,https://www.kongju.ac.kr//bbs/kongju/1524/257782/artclView.do
837,"[Kongju:공주]
공주대학교 특수교육종합연수원 사무보조 기간제 근로자 모집",특수교육종합연수원,2022.05.23,1955,,https://www.kongju.ac.kr//bbs/kongju/1524/254693/artclView.do
836,"[공통]
2022학년도 공무원집중반(진영원) 상반기 정기모집 안내",인재개발실,2022.03.04,3792,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1524/251430/artclView.do
835,"[공통]
2022학년도 인재개발실  연간 일정표 안내",인재개발실,2022.02.18,3927,첨부파일있음,https://www.kongju.ac.kr//bbs/kongju/1524/250518/artclView.do
834,2022학년도 1학기 진로·취업 교과목 안내,인재개발실,2022.01.28,4056,,https://www.kongju.ac.kr//bbs/kongju/1524/249284/artclView.do
